1,albany,1.17,1.91,7,365
2,atlanta,1.05,1.71,17,375
3,baltimore washington,1.17,1.57,29,386
4,boise,1.05,1.7,41,399
5,boston,1.14,1.8,56,420
6,buffalo rochester,1.4,1.68,65,432
7,california,1.02,1.61,77,433
8,charlotte,1.15,2.01,89,449
9,chicago,1.15,1.66,101,460
10,cincinnati dayton,0.98,1.43,113,473
11,columbus,1.01,1.54,125,485
12,dallas ft worth,0.78,1.37,137,500
13,denver,1.05,1.33,151,509
14,detroit,1.05,1.63,161,523
15,grand rapids,1.09,1.75,174,536
16,great lakes,1.07,1.58,185,545
17,harrisburg scranton,1.15,1.8,197,564
18,hartford springfield,1.25,2.26,209,576
19,houston,0.79,1.31,222,584
20,indianapolis,1.1,1.58,234,595
21,jacksonville,1.12,1.89,245,607
22,las vegas,0.97,1.78,256,617
23,los angeles,0.9,1.41,269,636
24,louisville,1.04,1.54,278,644
25,miami ft lauderdale,1.14,1.63,293,652
26,nashville,1.01,1.55,305,667
27,new orleans mobile,0.98,1.55,318,674
28,new york,1.26,2.04,329,696
29,northeast,1.22,1.87,341,708
30,northern new england,1.11,1.83,355,715
